Species,Genus,Family,y,n,mass,height,lifeform,longevity,light,temperature,continentality,humidity,reaction,nitrogen,salt,habitat
Nuphar_pumila,Nuphar,Nymphaeaceae,43,50,270,120,1,3,8,4,7,10,4,2,0,1
Nuphar_lutea,Nuphar,Nymphaeaceae,16,50,460,500,1,3,8,6,4,10,7,6,0,1
Nymphaea_candida,Nymphaea,Nymphaeaceae,28,50,9.678,175,1,3,8,6,6,10,4,4,0,1
Nymphaea_alba,Nymphaea,Nymphaeaceae,37,50,6.304,150,1,3,8,6,3,10,7,5,0,1
Aristolochia_clematitis,Aristolochia,Aristolochiaceae,21,50,34.3623,100,3,3,6,7,3,4,8,8,0,0
Asarum_europaeum,Asarum,Aristolochiaceae,44,50,3.16,10,4,3,3,6,5,5,7,6,0,7
Acorus_calamus,Acorus,Acoraceae,47,50,3.72,120,1,3,8,6,5,10,7,7,0,1
Calla_palustris,Calla,Araceae,14,50,1.59,40,1,3,6,6,6,9,6,4,0,1
Arum_maculatum,Arum,Araceae,10,50,105,40,4,3,3,6,2,7,7,8,0,7
Tofieldia_calyculata,Tofieldia,Tofieldiaceae,14,50,0.038667,35,3,3,8,5,4,8,8,2,0,1
Najas_marina,Najas,Hydrocharitaceae,23,50,2.36,30,1,1,5,6,4,10,9,6,1,1
Hydrocharis_morsus_ranae,Hydrocharis,Hydrocharitaceae,47,50,0.17,30,2,1,7,6,4,10,7,6,0,1
Sagittaria_sagittifolia,Sagittaria,Alismataceae,17,50,1.7,100,1,3,7,6,4,10,7,6,0,1
Luronium_natans,Luronium,Alismataceae,45,50,0.3889,100,1,3,8,6,1,10,5,3,0,1
Baldellia_ranunculoides,Baldellia,Alismataceae,35,50,0.46,40,1,3,8,6,1,10,5,2,1,1
Alisma_gramineum,Alisma,Alismataceae,4,50,0.37,60,1,3,7,7,6,10,7,4,0,1
Alisma_plantago_aquatica,Alisma,Alismataceae,34,50,0.5,120,1,3,7,5,5,10,5,8,0,1
Alisma_lanceolatum,Alisma,Alismataceae,31,50,0.47,80,1,3,7,7,2,10,7,5,0,1
Triglochin_palustre,Triglochin,Juncaginaceae ,2,50,1.966,60,3,3,8,5,5,9,5,1,2,1
Triglochin_maritimum,Triglochin,Juncaginaceae ,47,50,0.98,70,3,3,8,6,7,7,5,5,2,2
Zannichellia_palustris,Zannichellia,Potamogetonaceae,16,50,1.03,50,1,3,6,6,5,10,8,8,2,2
Groenlandia_densa,Groenlandia,Potamogetonaceae,18,50,2.23,40,4,3,8,6,2,10,8,5,0,1
Potamogeton_filiformis,Potamogeton,Potamogetonaceae,40,50,1.85,80,1,3,8,4,5,10,4,3,0,1
Potamogeton_pectinatus,Potamogeton,Potamogetonaceae,5,50,5.61,200,1,3,6,5,5,10,8,8,1,1
Potamogeton_coloratus,Potamogeton,Potamogetonaceae,24,50,0.53,60,1,3,8,6,3,10,8,8,0,1
Potamogeton_natans,Potamogeton,Potamogetonaceae,5,50,5.5,200,1,3,6,5,5,10,7,5,0,1
Potamogeton_polygonifolius,Potamogeton,Potamogetonaceae,48,50,1.17,60,1,3,7,6,2,10,3,2,0,1
Potamogeton_crispus,Potamogeton,Potamogetonaceae,36,50,11.876,100,1,3,6,5,3,10,7,5,0,1
Potamogeton_lucens,Potamogeton,Potamogetonaceae,1,50,5.36,300,1,3,6,6,4,10,6,7,0,1
Potamogeton_gramineus,Potamogeton,Potamogetonaceae,45,50,2.49,120,1,3,8,4,5,10,5,5,0,1
Potamogeton_nodosus,Potamogeton,Potamogetonaceae,18,50,3.83,300,1,3,6,6,5,10,8,5,0,1
Potamogeton_perfoliatus,Potamogeton,Potamogetonaceae,10,50,3.83,200,1,3,6,5,5,10,7,6,1,1
Potamogeton_alpinus,Potamogeton,Potamogetonaceae,15,50,2.58,60,1,3,7,4,5,10,6,6,0,1
Potamogeton_berchtoldii,Potamogeton,Potamogetonaceae,45,50,0.75,100,2,1,6,6,5,10,7,5,0,1
Potamogeton_obtusifolius,Potamogeton,Potamogetonaceae,49,50,2.9,100,2,1,6,6,3,10,6,6,0,1
Potamogeton_acutifolius,Potamogeton,Potamogetonaceae,5,50,3.1,100,1,3,7,6,4,10,5,6,0,1
Narthecium_ossifragum,Narthecium,Nartheciaceae,25,50,0.1,30,3,3,8,4,1,9,2,1,0,1
Tamus_communis,Tamus,Dioscoreaceae,8,50,17.9,300,4,3,6,8,2,5,8,5,0,7
Paris_quadrifolia,Paris,Melanthiaceae,7,50,4.9,40,4,3,3,5,4,6,7,7,0,7
Colchicum_autumnale,Colchicum,Colchicaceae,10,50,6.47,25,4,3,5,5,2,6,7,5,0,4
Fritillaria_meleagris,Fritillaria,Liliaceae,14,50,1.9,50,4,3,8,7,4,8,7,5,0,4
Lilium_martagon,Lilium,Liliaceae,47,50,7.32,100,4,3,4,5,5,5,7,5,0,7
Lilium_bulbiferum,Lilium,Liliaceae,35,50,7.4,90,4,3,7,5,4,5,8,3,0,7
Tulipa_sylvestris,Tulipa,Liliaceae,18,50,2.85,60,4,3,7,7,4,4,7,5,0,3
Gagea_pratensis,Gagea,Liliaceae,3,50,1.339,20,4,3,7,6,5,4,8,6,0,3
Gagea_lutea,Gagea,Liliaceae,18,50,2.1213,30,4,3,4,5,4,6,7,7,0,7
Gagea_bohemica,Gagea,Liliaceae,48,50,1.164,10,4,3,9,8,5,2,5,2,0,4
Streptopus_amplexifolius,Streptopus,Liliaceae,20,50,2,100,4,3,5,3,4,5,6,6,0,7
Iris_germanica,Iris,Iridaceae,44,50,49.252,100,4,3,8,8,3,3,8,2,0,4
Iris_aphylla,Iris,Iridaceae,27,50,12.6421,30,4,3,8,7,6,3,6,1,0,4
